Quel	DETrel	quel
;	PONfbl	;
Mult	DETind	moult
i	PROadv	i
ot	VERcjg	avoir
reis	NOMcom	roi
e	CONcoo	et
ducs	NOMcom	duc
paiens	ADJqua	païen
Entremedlé	VERppe	entremêler
as	PRE.DETdef	à.le
cristïens	NOMcom	chrétien
,	PONfbl	,
Ki	PROrel	qui
de	PRE	de
Rome	NOMpro	Rome
lur	DETpos	leur
fieus	NOMcom	fief
teneient	VERcjg	tenir
E	CONcoo	et
pur	PRE	pour
lur	DETpos	leur
fieus	NOMcom	fief
Romeins	NOMpro	Romain
serveient	VERcjg	servir
.	PONfrt	.

Par	PRE	par
trenteines	NOMcom	trentaine
,	PONfbl	,
par	PRE	par
quarenteines	NOMcom	quarantaine
,	PONfbl	,
Par	PRE	par
seisanteines	NOMcom	soixantaine
,	PONfbl	,
par	PRE	par
centeines	NOMcom	centaine
,	PONfbl	,
Par	PRE	par
legiuns	NOMcom	légion
e	CONcoo	et
par	PRE	par
milliers	NOMcom	millier
Departirent	VERcjg	départir
lur	DETpos	leur
chevaliers	NOMcom	chevalier
,	PONfbl	,
Maint	PROind	maint
a	PRE	a
pié	NOMcom	pié
e	CONcoo	et
maint	PROind	maint
a	PRE	a
cheval	NOMcom	cheval
,	PONfbl	,
Les	DETdef	le
uns	PROind	un
el	PRE.DETdef	en
munt	NOMcom	mont
,	PONfbl	,
les	DETdef	le
uns	PROind	un
el	PRE.DETdef	en
val	NOMcom	val
;	PONfbl	;
Puis	ADVgen	puis
sunt	VERcjg	être
,	PONfbl	,
tuit	PROind	tot
rengié	VERppe	rengier
e	CONcoo	et
serré	VERppe	serrer
,	PONfbl	,
Cuntre	PRE	contre
la	DETdef	le
gent	NOMcom	gent
Arthur	NOMpro	Arthur
alé	VERppe	aler
;	PONfbl	;
De	PRE	de
l'	DETdef	le
une	ADJind	un
part	NOMcom	part
de	PRE	de
la	DETdef	le
valee	NOMcom	valee
Entra	VERcjg	entrer
la	DETdef	le
gent	NOMcom	gent
romeine	ADJqua	romain
armee	VERppe	armer
,	PONfbl	,
De	PRE	de
l'	DETdef	le
altre	ADJind	autre
part	NOMcom	part
,	PONfbl	,
enmi	PRE	enmi
lur	DETpos	leur
vis	NOMcom	vis
,	PONfbl	,
Orent	VERcjg	avoir
Bretun	NOMpro	Breton
lu	DETdef	le
champ	NOMcom	champ
purpris	VERppe	pourprendre
.	PONfrt	.

Dunc	ADVgen	donc
oïssiez	VERcjg	ouïr
grant	ADJqua	grant
corneïz	NOMcom	cornet
E	CONcoo	et
de	PRE	de
greilles	NOMcom	grêle
grant	ADJqua	grant
suneïz	NOMcom	sonnëiz
;	PONfbl	;
Serreement	ADVgen	serrément
,	PONfbl	,
süef	ADJqua	souef
passant	VERppa	passer
,	PONfbl	,
S'	PROper	soi
entrevindrent	VERcjg	entrevenir
entr'	PRE	entre
aprismant	VERppa	aproismier
;	PONfbl	;
Mult	ADVgen	moult
veïssiez	VERcjg	voir
,	PONfbl	,
a	PRE	a
l'	DETdef	le
aprismier	VERinf	approismer
,	PONfbl	,
Saetes	NOMcom	sayette
traire	VERinf	traire
e	CONcoo	et
darz	NOMcom	dart
lancier	VERinf	lancier
;	PONfbl	;
N'	ADVneg	ne
i	PROadv	i
poeit	VERcjg	pouvoir
hum	NOMcom	homme
sun	DETpos	son
oil	NOMcom	oeil
ovrir	VERinf	ovrir
Ne	CONcoo	ne
sun	DETpos	son
viaire	NOMcom	viaire
descuvrir	VERinf	découvrir
.	PONfrt	.

Saetes	NOMcom	sayette
volent	VERcjg	voler
cume	CONsub	comme
gresle	NOMcom	gresle
,	PONfbl	,
Trestut	ADVgen	trèstout
en	PROadv	en
trubble	VERcjg	troubler
l'	DETdef	le
air	NOMcom	air
e	CONcoo	et
medle	VERcjg	mêler
.	PONfrt	.

Dunc	ADVgen	donc
vindrent	VERcjg	venir
as	PRE.DETdef	à.le
lances	NOMcom	lance
briser	VERinf	briser
E	CONcoo	et
as	PRE.DETdef	à.le
escuz	NOMcom	escu
fraindre	VERinf	fraindre
e	CONcoo	et
percier	VERinf	percer
;	PONfbl	;
Les	DETdef	le
hanstes	NOMcom	hanste
dunoent	VERcjg	donner
grantcruis	VERppe	grantruire
,	PONfbl	,
Bien	ADVgen	bien
halt	ADJqua	haut
en	PROadv	en
voloent	VERcjg	voler
li	DETdef	le
truis	NOMcom	tros
.	PONfrt	.

Enprés	ADVgen	emprès
vindrent	VERcjg	venir
al	PRE.DETdef	à.le
capleïz	NOMcom	chaplis
E	CONcoo	et
as	PRE.DETdef	à.le
granz	ADJqua	grant
cops	NOMcom	coup
des	PRE.DETdef	de.le
branz	NOMcom	brant
furbiz	VERppe	fourbir
.	PONfrt	.

Dunc	ADVgen	donc
i	PROadv	i
ot	VERcjg	avoir
estur	NOMcom	estour
merveillus	ADJqua	merveilleux
,	PONfbl	,
Unques	ADVgen	onques
ne	ADVneg	ne
vi	VERcjg	vëoir
plus	ADVgen	plus
perillus	ADJqua	périlleux
Ne	CONcoo	ne
plus	ADVgen	plus
medlé	VERppe	mêler
ne	CONcoo	ne
plus	ADVgen	plus
espés	ADJqua	épais
;	PONfbl	;
Ki	PROrel	qui
ferir	VERinf	férir
volt	VERcjg	vouloir
,	PONfbl	,
tost	ADVgen	tost
en	PROadv	en
ot	VERcjg	avoir
mes	ADVgen	mais
.	PONfrt	.

Fols	NOMcom	fou
n'	CONcoo	ne
esbaïs	VERppe	esbäir
n'	ADVneg	ne
i	PROadv	i
ot	VERcjg	avoir
mestier	NOMcom	mestier
,	PONfbl	,
Cuard	ADJqua	couard
ne	ADVneg	ne
s'	PROper	soi
i	PROadv	i
sot	VERcjg	savoir
cunseillier	VERinf	conseiller
.	PONfrt	.

L'	DETdef	le
un	PROind	un
a	PRE	a
ferir	VERinf	férir
l'	DETdef	le
autre	PROind	autre
desturbe	VERcjg	détourber
La	DETdef	le
grant	ADJqua	grant
espesse	NOMcom	espesse
e	CONcoo	et
la	DETdef	le
grant	ADJqua	grant
turbe	NOMcom	tourbe
.	PONfrt	.

Mult	ADVgen	moult
veïssiez	VERcjg	voir
le	DETdef	le
champ	NOMcom	champ
fremir	VERinf	fremir
,	PONfbl	,
L'	DETdef	le
une	ADJind	un
eschiele	NOMcom	eschelle
l'	DETdef	le
autre	PROind	autre
envaïr	VERinf	envahir
,	PONfbl	,
L'	DETdef	le
un	ADJind	un
cunrei	NOMcom	conroi
a	PRE	a
l'	DETdef	le
altre	PROind	autre
hurter	VERinf	hurter
,	PONfbl	,
Les	DETdef	le
uns	PROind	un
ferir	VERinf	férir
,	PONfbl	,
les	DETdef	le
uns	PROind	un
buter	VERinf	bouter
,	PONfbl	,
Les	DETdef	le
uns	PROind	un
venir	VERinf	venir
,	PONfbl	,
les	DETdef	le
uns	PROind	un
turner	VERinf	tourner
,	PONfbl	,
Les	DETdef	le
uns	PROind	un
chaeir	VERinf	choir
,	PONfbl	,
les	DETdef	le
uns	PROind	un
ester	VERinf	ester
,	PONfbl	,
Hanstes	NOMcom	hanste
brisier	VERinf	brisier
,	PONfbl	,
retrois	NOMcom	retrois
voler	VERinf	voler
,	PONfbl	,
Traire	VERinf	traire
espees	NOMcom	espee
,	PONfbl	,
escuz	NOMcom	escu
lever	VERinf	lever
,	PONfbl	,
Les	DETdef	le
forz	ADJqua	fort
les	DETdef	le
fiebles	ADJqua	faible
craventer	VERinf	cravanter
,	PONfbl	,
Les	DETdef	le
vifs	ADJqua	vif
les	DETdef	le
muranz	VERppa	mourir
defuler	VERinf	défouler
;	PONfbl	;
Rumpre	VERinf	rompre
cengles	NOMcom	sangle
,	PONfbl	,
rumpre	VERinf	rompre
peitrals	NOMcom	poitrail
,	PONfbl	,
Seles	NOMcom	selle
voidier	VERinf	vuidier
,	PONfbl	,
fuïr	VERinf	fuir
chevals	NOMcom	cheval
.	PONfrt	.

Lungement	ADVgen	longuement
s'	PROper	soi
entrecumbatirent	VERcjg	entrecombattre
E	CONcoo	et
lungement	ADVgen	longuement
s'	PROper	soi
entreferirent	VERcjg	entreférir
Que	CONsub	que
cil	PROdem	cel
de	PRE	de
Rome	NOMpro	Rome
ne	ADVneg	ne
ruserent	VERcjg	rëuser
Ne	CONcoo	ne
sur	PRE	sur
Bretuns	NOMpro	Breton
ne	ADVneg	ne
recuvrerent	VERcjg	recouvrer
.	PONfrt	.

N'	ADVneg	ne
iert	VERcjg	estre
mie	ADVneg	mie
legier	ADJqua	legier
a	PRE	a
saveir	VERinf	savoir
Ki	PROrel	qui
deveit	VERcjg	devoir
la	DETdef	le
victorie	NOMcom	victoire
aveir	VERinf	avoir
,	PONfbl	,
Dessi	ADVgen	deci
que	CONsub	que
l'	DETdef	le
eschiele	NOMcom	eschelle
aprisma	VERcjg	approismer
Que	PROrel	que
Beduer	NOMpro	Bédoier
od	PRE	o
Key	NOMpro	Keu
mena	VERcjg	mener
.	PONfrt	.

Cil	PROdem	cel
virent	VERcjg	voir
que	CONsub	que
poi	ADVgen	peu
cunquereient	VERcjg	conquérir
E	CONcoo	et
que	CONsub	que
Romein	NOMpro	Romain
bien	ADVgen	bien
se	PROper	soi
teneient	VERcjg	tenir
;	PONfbl	;
Par	PRE	par
ire	NOMcom	ire
e	CONcoo	et
par	PRE	par
dreit	ADJqua	droit
maltalent	NOMcom	maltalent
,	PONfbl	,
Od	PRE	o
lur	DETpos	leur
cumpaigne	NOMcom	compagne
estreitement	ADVgen	étroitement
,	PONfbl	,
Entre	PRE	entre
les	DETdef	le
Romeins	NOMpro	Romain
s'	PROper	soi
enbatirent	VERcjg	embattre
La	ADVgen	là
u	PROrel	où
la	DETdef	le
greinur	ADJqua	graindre
presse	NOMcom	presse
virent	VERcjg	voir
.	PONfrt	.

Bien	ADVgen	bien
fiert	VERcjg	ferir
Beduer	NOMpro	Bédoier
,	PONfbl	,
bien	ADVgen	bien
fiert	VERcjg	ferir
Key	NOMpro	Keu
:	PONfbl	:
Deus	NOMpro	Dieu
!	PONfrt	!

quels	DETint	quel
baruns	NOMcom	baron
en	PRE	en
curt	NOMcom	cour
a	PRE	a
rei	NOMcom	roi
,	PONfbl	,
Quel	DETint	quel
seneschal	NOMcom	seneschal
,	PONfbl	,
quel	DETint	quel
buteillier	NOMcom	bouteiller
!	PONfrt	!

Tant	ADVgen	tant
servent	VERcjg	servir
bien	ADVgen	bien
des	PRE.DETdef	de.le
branz	NOMcom	brant
d'	PRE	de
acier	NOMcom	acier
.	PONfrt	.

Quels	DETint	quel
dous	ADJcar	deux
vassals	NOMcom	vassal
,	PONfbl	,
s'	CONsub	se
alques	ADVgen	auques
vesquissent	VERcjg	vivre
;	PONfbl	;
Mult	ADVgen	moult
orent	VERcjg	avoir
fait	VERppe	faire
e	CONcoo	et
plus	ADVgen	plus
feïssent	VERcjg	faire
.	PONfrt	.

Mult	ADVgen	moult
vunt	VERcjg	aller
la	DETdef	le
presse	NOMcom	presse
derumpant	VERppa	dérompre
E	CONcoo	et
mult	ADVgen	moult
en	PROadv	en
vunt	VERcjg	aller
agraventant	VERppa	acravanter
.	PONfrt	.

Lur	DETpos	leur
grant	ADJqua	grant
cumpaigne	NOMcom	compagne
vient	VERcjg	venir
aprés	ADVgen	après
,	PONfbl	,
Ki	PROrel	qui
mult	ADVgen	moult
s'	PROper	soi
argue	VERcjg	arguer
,	PONfbl	,
e	CONcoo	et
fiert	VERcjg	ferir
adés	ADVgen	adès
;	PONfbl	;
Maint	DETind	maint
cop	NOMcom	coup
i	PROadv	i
ot	VERcjg	avoir
pris	VERppe	prendre
e	CONcoo	et
duné	VERppe	donner
,	PONfbl	,
Maint	DETind	maint
hume	NOMcom	homme
ocis	VERppe	occire
e	CONcoo	et
maint	PROind	maint
nafré	VERppe	navrer
.	PONfrt	.

Beduer	NOMpro	Bédoier
s'	PROper	soi
enbat	VERcjg	embattre
en	PRE	en
la	DETdef	le
presse	NOMcom	presse
,	PONfbl	,
Ki	PROrel	qui
ne	ADVneg	ne
repose	VERcjg	reposer
ne	CONcoo	ne
ne	ADVneg	ne
cesse	VERcjg	cesser
.	PONfrt	.

De	PRE	de
l'	DETdef	le
altre	ADJind	autre
part	NOMcom	part
Key	NOMpro	Keu
ne	ADVneg	ne
refine	VERcjg	refiner
;	PONfbl	;
Maint	PROind	maint
en	PROadv	en
abat	VERcjg	abattre
,	PONfbl	,
maint	PROind	maint
en	PROadv	en
suvine	VERcjg	souviner
.	PONfrt	.

Si	CONsub	si
alques	ADVgen	auques
tost	ADVgen	tost
se	PROper	soi
retenissent	VERcjg	retenir
E	CONcoo	et
a	PRE	a
lur	DETpos	leur
gent	NOMcom	gent
se	PROper	soi
restreinsissent	VERcjg	restreindre
Tant	ADVgen	tant
que	CONsub	que
Bretun	NOMpro	Breton
les	PROper	il
parsiewissent	VERcjg	parsuivre
E	CONcoo	et
li	DETdef	le
altre	ADJind	autre
cunrei	NOMcom	conroi
venissent	VERcjg	venir
,	PONfbl	,
Grant	ADJqua	grant
pris	NOMcom	pris
e	CONcoo	et
grant	ADJqua	grant
pru	NOMcom	preu
i	PROadv	i
eüssent	VERcjg	avoir
E	CONcoo	et
de	PRE	de
murir	VERinf	mourir
guaris	VERppe	guérir
se	PROper	soi
fussent	VERcjg	estre
;	PONfbl	;
Mes	CONcoo	mais
il	PROper	il
furent	VERcjg	estre
trop	ADVgen	trop
talentif	ADJqua	talentif
E	CONcoo	et
de	PRE	de
ferir	VERinf	férir
avant	ADVgen	avant
braidif	ADJqua	braidif
;	PONfbl	;
Ne	ADVneg	ne
se	PROper	soi
sorent	VERcjg	savoir
mie	ADVneg	mie
esparnier	VERinf	épargner
,	PONfbl	,
La	DETdef	le
bataille	NOMcom	bataille
voldrent	VERcjg	vouloir
percier	VERinf	percer
,	PONfbl	,
En	PRE	en
lur	DETpos	leur
granz	ADJqua	grant
buntez	NOMcom	bonté
se	PROper	soi
fioent	VERcjg	fier
E	CONcoo	et
es	PRE.DETdef	en.le
granz	ADJqua	grant
genz	NOMcom	gent
que	PROrel	que
il	PROper	il
menoent	VERcjg	mener
.	PONfrt	.

Mes	CONcoo	mais
une	DETndf	un
eschiele	NOMcom	eschelle
unt	VERcjg	avoir
encuntree	VERppe	encontrer
Que	PROrel	que
li	DETdef	le
reis	NOMcom	roi
de	PRE	de
Mede	NOMpro	Médie
ot	VERcjg	avoir
menee	VERppe	mener
;	PONfbl	;
Boccus	NOMpro	Bocus
ot	VERcjg	avoir
nun	NOMcom	nom
,	PONfbl	,
paens	ADJqua	païen
esteit	VERcjg	être
,	PONfbl	,
Mult	ADVgen	moult
esteit	VERcjg	être
pruz	ADJqua	preux
,	PONfbl	,
grant	ADJqua	grant
gent	NOMcom	gent
aveit	VERcjg	avoir
.	PONfrt	.

Li	DETdef	le
cunte	NOMcom	comte
sunt	VERcjg	être
a	PRE	a
cels	PROdem	cil
medlé	VERppe	mêler
,	PONfbl	,
N'	ADVneg	ne
unt	VERcjg	avoir
mie	ADVneg	mie
lur	DETpos	leur
grant	ADJqua	grant
gent	NOMcom	gent
duté	VERppe	douter
.	PONfrt	.

Ço	PROdem	ce
fud	VERcjg	être
bataille	NOMcom	bataille
bien	ADVgen	bien
ferue	VERppe	ferir
E	CONcoo	et
medlee	NOMcom	mêlée
bien	ADVgen	bien
maintenue	VERppe	maintenir
Entre	PRE	entre
paens	NOMcom	païen
e	CONcoo	et
Sarazins	NOMpro	Sarrasin
EEstrueis	NOMpro	Estrueis
e	CONcoo	et
Angevins	NOMpro	Angevin
.	PONfrt	.

Li	DETdef	le
reis	NOMcom	roi
Boccus	NOMpro	Bocus
un	DETndf	un
glayve	NOMcom	glaive
tint	VERcjg	tenir
;	PONfbl	;
Mal	NOMcom	mal
ait	VERcjg	avoir
sis	DETpos	son
cors	NOMcom	corps
quant	CONsub	cant
il	PROper	il
i	PROadv	i
vint	VERcjg	venir
!	PONfrt	!

Les	DETdef	le
dous	ADJcar	deux
cuntes	NOMcom	comte
ad	VERcjg	avoir
descunfiz	VERppe	déconfire
,	PONfbl	,
E	CONcoo	et
Beduer	NOMpro	Bédoier
feri	VERcjg	ferir
el	PRE.DETdef	en
piz	NOMcom	piz
;	PONfbl	;
De	PRE	de
la	DETdef	le
lance	NOMcom	lance
parmi	PRE	parmi
le	DETdef	le
cors	NOMcom	corps
Li	PROper	il
fist	VERcjg	faire
passer	VERinf	passer
le	DETdef	le
fer	NOMcom	fer
tut	ADVgen	tout
fors	ADVgen	fors
.	PONfrt	.

Beduer	NOMpro	Bédoier
chiet	VERcjg	chëoir
,	PONfbl	,
li	DETdef	le
cuers	NOMcom	cuer
li	PROper	il
part	VERcjg	partir
,	PONfbl	,
L'	DETdef	le
alme	NOMcom	âme
s'	PROper	soi
en	PROadv	en
vait	VERcjg	aller
,	PONfbl	,
Jesus	NOMpro	Jésus
la	PROper	il
guart	VERcjg	garder
.	PONfrt	.

Key	NOMpro	Keu
ad	VERcjg	avoir
trové	VERppe	trover
Beduer	NOMpro	Bédoier
mort	VERppe	mourir
;	PONfbl	;
En	PRE	en
talent	NOMcom	talent
ad	VERcjg	avoir
que	CONsub	que
il	PROper	il
l'en	PROind	loin
port	VERcjg	porter
,	PONfbl	,
Mult	ADVgen	moult
l'	PROper	il
aveit	VERcjg	avoir
chier	ADJqua	chier
e	CONcoo	et
mult	ADVgen	moult
l'	PROper	il
amot	VERcjg	aimer
.	PONfrt	.

Od	PRE	o
tant	ADVgen	tant
de	PRE	de
gent	NOMcom	gent
cumë	CONsub	comme
il	PROper	il
ot	VERcjg	avoir
Fist	VERcjg	faire
ces	PROdem	ce
de	PRE	de
Mede	NOMpro	Médie
departir	VERinf	departir
E	CONcoo	et
la	DETdef	le
place	NOMcom	place
lur	PROper	leur
fist	VERcjg	faire
guerpir	VERinf	guerpir
.	PONfrt	.

Mes	CONcoo	mais
,	PONfbl	,
al	PRE.DETdef	à.le
targier	VERinf	targer
e	CONcoo	et
a	PRE	a
l'	DETdef	le
atendre	VERinf	atendre
Qu'	PROrel	que
il	PROper	il
fist	VERcjg	faire
al	PRE.DETdef	à.le
cors	NOMcom	corps
Beduer	NOMpro	Bédoier
prendre	VERinf	prendre
,	PONfbl	,
S'	PROper	soi
est	VERcjg	estre
li	DETdef	le
reis	NOMcom	roi
de	PRE	de
Libie	NOMpro	Libye
apresmez	VERppe	approismer
,	PONfbl	,
Sertor	NOMpro	Sertor
ot	VERcjg	avoir
nun	NOMcom	nom
,	PONfbl	,
mult	ADVgen	moult
fud	VERcjg	être
preisiez	VERppe	priser
,	PONfbl	,
Grant	ADJqua	grant
turbe	NOMcom	tourbe
aveit	VERcjg	avoir
de	PRE	de
gent	NOMcom	gent
paene	ADJqua	païen
Qu'	PROrel	que
il	PROper	il
ot	VERcjg	avoir
de	PRE	de
sa	DETpos	son
terre	NOMcom	terre
demeine	ADJqua	demaine
.	PONfrt	.

Cil	PROdem	cel
unt	VERcjg	avoir
Key	NOMpro	Keu
nafré	VERppe	navrer
mortelment	ADVgen	mortellement
E	CONcoo	et
ocis	VERppe	occire
unt	VERcjg	avoir
mult	ADVgen	moult
de	PRE	de
sa	DETpos	son
gent	NOMcom	gent
,	PONfbl	,
Mult	ADVgen	moult
l'	PROper	il
unt	VERcjg	avoir
nafré	VERppe	navrer
,	PONfbl	,
mult	ADVgen	moult
l'	PROper	il
unt	VERcjg	avoir
feru	VERppe	ferir
,	PONfbl	,
Mes	CONcoo	mais
il	PROper	il
ad	VERcjg	avoir
bien	ADVgen	bien
lu	DETdef	le
cors	NOMcom	corps
tenu	VERppe	tenir
.	PONfrt	.

De	PRE	de
ses	DETpos	son
humes	NOMcom	homme
le	DETdef	le
remanant	VERppa	remanoir
L'	PROper	il
aloent	VERcjg	aller
entur	ADVgen	entour
defendant	VERppa	défendre
;	PONfbl	;
Porté	VERppe	porter
l'	PROper	il
unt	VERcjg	avoir
a	PRE	a
l'	DETdef	le
orin	ADJqua	aurein
dragun	NOMcom	dragon
Volsissent	VERcjg	voloir
cil	PROdem	cel
de	PRE	de
Rome	NOMpro	Rome
u	CONcoo	ou
nun	ADVneg	non
.	PONfrt	.

Hyrelgas	NOMpro	Hyrelgas
fud	VERcjg	être
niés	NOMcom	nevo
Beduer	NOMpro	Bédoier
,	PONfbl	,
Ki	PROrel	qui
mult	ADVgen	moult
soleit	VERcjg	souloir
sun	DETpos	son
uncle	NOMcom	oncle
amer	VERinf	amer
;	PONfbl	;
De	PRE	de
ses	DETpos	son
amis	NOMcom	ami
,	PONfbl	,
de	PRE	de
ses	DETpos	son
parenz	NOMcom	parent
,	PONfbl	,
Prist	VERcjg	prendre
cil	PROdem	cel
tant	ADVgen	tant
qu'	CONsub	que
il	PROper	il
en	PROadv	en
ot	VERcjg	avoir
treis	PROcar	trois
cenz	PROcar	cent
Od	PRE	o
healmes	NOMcom	heaume
,	PONfbl	,
od	PRE	o
halbercs	NOMcom	haubert
,	PONfbl	,
od	PRE	o
branz	NOMcom	brant
,	PONfbl	,
Sur	PRE	sur
bons	ADJqua	bon
chevals	NOMcom	cheval
forz	ADJqua	fort
e	CONcoo	et
curanz	ADJqua	courant
.	PONfrt	.

Cels	PROdem	cil
asembla	VERcjg	assembler
en	PRE	en
un	DETndf	un
cunrei	NOMcom	conroi
,	PONfbl	,
Puis	ADVgen	puis
lur	PROper	leur
ad	VERcjg	avoir
dit	VERppe	dire
:	PONfbl	:
“	PONpga	“
Venez	VERcjg	venir
od	PRE	o
mei	PROper	moi
,	PONfbl	,
La	DETdef	le
mort	NOMcom	mort
mun	DETpos	mon
uncle	NOMcom	oncle
voil	VERcjg	vouloir
vengier	VERinf	venger
.	PONfbl	.
”	PONpdr	”
Dunc	ADVgen	donc
prist	VERcjg	prendre
Romeins	NOMpro	Romain
a	PRE	a
aprismier	VERinf	approismer
;	PONfbl	;
Le	DETdef	le
rei	NOMcom	roi
de	PRE	de
Mede	NOMpro	Médie
ad	VERcjg	avoir
espié	VERppe	espiet
,	PONfbl	,
Al	PRE.DETdef	à.le
gumfanun	NOMcom	gonfalon
l'	PROper	il
ad	VERcjg	avoir
entercié	VERppe	entercier
.	PONfrt	.

Sur	PRE	sur
cel	DETdem	cil
cunrei	NOMcom	conroi
ala	VERcjg	aller
ferant	VERppa	férir
,	PONfbl	,
L'	DETdef	le
enseigne	NOMcom	enseigne
Arthur	NOMpro	Arthur
suvent	ADVgen	souvent
criant	VERppa	crïer
Cum	CONsub	comme
hume	NOMcom	homme
ki	PROrel	qui
est	VERcjg	estre
forsenez	ADJqua	forcené
,	PONfbl	,
Ki	PROrel	qui
ne	ADVneg	ne
puet	VERcjg	pöoir
estre	VERinf	estre
amesurez	VERppe	amesurer
;	PONfbl	;
Ne	ADVneg	ne
crient	VERcjg	criembre
hume	NOMcom	homme
ne	CONcoo	ne
rien	PROind	rien
qu'	PROrel	que
il	PROper	il
troisse	VERcjg	trouver
Mes	ADVgen	mais
que	CONsub	que
sun	DETpos	son
uncle	NOMcom	oncle
vengier	VERinf	venger
puisse	VERcjg	pöoir
.	PONfrt	.

Si	DETpos	son
cumpaignun	NOMcom	compagnon
od	PRE	o
lui	PROper	il
s'	PROper	soi
esleissent	VERcjg	eslaisser
,	PONfbl	,
Les	DETdef	le
escuz	NOMcom	escu
pris	VERppe	prendre
,	PONfbl	,
les	DETdef	le
lances	NOMcom	lance
beissent	VERcjg	baissier
;	PONfbl	;
Mult	PROind	moult
en	PROadv	en
ocient	VERcjg	occire
e	CONcoo	et
enversent	VERcjg	enverser
,	PONfbl	,
Par	PRE	par
desus	PRE	dessus
les	DETdef	le
chaeiz	VERppe	choir
traversent	VERcjg	traverser
;	PONfbl	;
En	PRE	en
l'	DETdef	le
eschiele	NOMcom	eschelle
al	PRE.DETdef	à.le
rei	NOMcom	roi
se	PROper	soi
sunt	VERcjg	être
mis	VERppe	metre
Qui	PROrel	que
Beduer	NOMpro	Bédoier
aveit	VERcjg	avoir
ocis	VERppe	occire
.	PONfrt	.

Od	PRE	o
la	DETdef	le
vertu	NOMcom	vertu
des	PRE.DETdef	de.le
bons	ADJqua	bon
chevals	NOMcom	cheval
E	CONcoo	et
od	PRE	o
l'	DETdef	le
aïr	NOMcom	aïr
des	PRE.DETdef	de.le
bons	ADJqua	bon
vassals	NOMcom	vassal
,	PONfbl	,
Destre	NOMcom	dextre
e	CONcoo	et
senestre	NOMcom	senestre
vunt	VERcjg	aller
turnant	VERppa	tourner
E	CONcoo	et
Hyrelgas	NOMpro	Hyrelgas
les	PROper	il
vait	VERcjg	aller
menant	VERppa	mener
.	PONfrt	.

Des	ADVgen	des
qu'	CONsub	que
al	PRE.DETdef	à.le
gumfanun	NOMcom	gonfalon
ne	ADVneg	ne
cesserent	VERcjg	cesser
U	PROrel	où
il	PROper	il
lu	DETdef	le
rei	NOMcom	roi
Boccus	NOMpro	Bocus
troverent	VERcjg	trouver
.	PONfrt	.

Hyrelgas	NOMpro	Hyrelgas
l'	PROper	il
ot	VERcjg	avoir
bien	ADVgen	bien
avisé	VERppe	aviser
,	PONfbl	,
Sun	DETpos	son
cheval	NOMcom	cheval
ad	VERcjg	avoir
vers	PRE	vers
lui	PROper	il
turné	VERppe	tourner
,	PONfbl	,
Parmi	PRE	parmi
la	DETdef	le
presse	NOMcom	presse
avant	ADVgen	avant
s'	PROper	soi
enpeinst	VERcjg	empeindre
,	PONfbl	,
En	PRE	en
sum	NOMcom	son
lu	DETdef	le
chief	NOMcom	chief
Boccus	NOMpro	Bocus
ateinst	VERcjg	atteindre
;	PONfbl	;
Forz	ADJqua	fort
fud	VERcjg	être
li	DETdef	le
bers	NOMcom	baron
,	PONfbl	,
li	DETdef	le
cops	NOMcom	coup
fud	VERcjg	être
granz	ADJqua	grant
E	CONcoo	et
li	DETdef	le
branz	NOMcom	brant
fud	VERcjg	être
durs	ADJqua	dur
e	CONcoo	et
trenchanz	ADJqua	tranchant
.	PONfrt	.

Li	DETdef	le
healmes	NOMcom	heaume
fendi	VERcjg	fendre
e	CONcoo	et
quassa	VERcjg	casser
,	PONfbl	,
La	DETdef	le
coiffe	NOMcom	coiffe
del	PRE.DETdef	de
halberc	NOMcom	haubert
falsa	VERcjg	fausser
;	PONfbl	;
Gesqu'as	NOMpro	Geques
espalles	NOMcom	épaule
le	PROper	il
trencha	VERcjg	trancher
,	PONfbl	,
Li	DETdef	le
cuers	NOMcom	cuer
creva	VERcjg	crever
,	PONfbl	,
l'	DETdef	le
alme	NOMcom	âme
en	PROadv	en
ala	VERcjg	aller
E	CONcoo	et
Hyrelgas	NOMpro	Hyrelgas
le	DETdef	le
braz	NOMcom	braz
tendi	VERcjg	tendre
,	PONfbl	,
Lu	DETdef	le
cors	NOMcom	corps
retint	VERcjg	retenir
qu'	CONsub	que
il	PROper	il
ne	ADVneg	ne
chaï	VERcjg	choir
,	PONfbl	,
Devant	PRE	devant
sei	PROper	soi
le	PROper	il
traist	VERcjg	traire
en	PRE	en
travers	NOMcom	travers
,	PONfbl	,
Sur	PRE	sur
sun	DETpos	son
cheval	NOMcom	cheval
le	PROper	il
tint	VERcjg	tenir
envers	ADVgen	envers
,	PONfbl	,
Devant	PRE	devant
sei	PROper	soi
en	PRE	en
travers	NOMcom	travers
lu	PROper	le
traist	VERcjg	traire
,	PONfbl	,
Unc	ADVgen	onques
cil	PROdem	cel
ne	ADVneg	ne
cria	VERcjg	crïer
ne	ADVneg	ne
se	PROper	soi
braist	VERcjg	braire
.	PONfrt	.

Li	DETdef	le
chevaliers	NOMcom	chevalier
fud	VERcjg	être
aïrus	ADJqua	aïreux
E	CONcoo	et
li	DETdef	le
chevals	NOMcom	cheval
fud	VERcjg	être
vigurus	ADJqua	vigoureux
;	PONfbl	;
